,mol_id,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
880,gdb_881,6.6808,2.22439,1.6862700000000002,3.5255,57.83,-0.1875,0.0349,0.2224,712.3352,0.102241,-340.667287,-340.660561,-340.65961699999997,-340.697882,24.249000000000002,-1284.04656634,-1291.379636514,-1298.49182352,-1198.370252534
920,gdb_921,5.85008,2.92013,1.9478400000000002,5.7625,54.88,-0.2398,-0.0592,0.1806,598.3612,0.081719,-339.49875699999996,-339.49358,-339.492636,-339.527754,19.314,-1178.6350944839999,-1185.163070611,-1191.089265607,-1105.3269830680001
960,gdb_961,3.5113199999999996,3.3633800000000003,1.7553299999999998,3.4972,63.54,-0.2061,0.0383,0.2443,716.3821,0.126183,-304.752598,-304.745444,-304.7445,-304.783881,25.475,-1473.9132194879999,-1482.7554488070998,-1491.053627823,-1375.5536937741
1000,gdb_1001,4.141830000000001,3.3009,1.85838,3.2284,55.16,-0.1984,0.047,0.2454,648.2207,0.103022,-340.664901,-340.65817999999996,-340.657236,-340.695735,23.654,-1282.549329866,-1289.885537585,-1296.997724591,-1197.0229907110001
1040,gdb_1041,7.0735399999999995,1.9383599999999999,1.66451,2.097,58.91,-0.2358,0.0065,0.2423,754.0224,0.11492000000000001,-324.61634300000003,-324.609931,-324.60898599999996,-324.64706,22.820999999999998,-1400.682919188,-1409.1022074410998,-1416.806762943,-1308.7057875131
1080,gdb_1081,6.65405,2.9721900000000003,2.10967,3.7353,59.69,-0.2158,0.0431,0.259,596.5324,0.105012,-303.49932,-303.493938,-303.492994,-303.528757,19.872,-1315.3216149,-1323.498684679,-1330.610871685,-1229.174669344
1120,gdb_1121,4.79558,1.49909,1.38222,3.3356,64.34,-0.2438,0.0346,0.2784,953.6413,0.15832100000000002,-327.026688,-327.017676,-327.016732,-327.060725,31.641,-1657.492859965,-1667.834835794,-1677.912002825,-1540.8571346260999
1160,gdb_1161,3.5133099999999997,2.1040099999999997,1.8692799999999998,2.2331,63.47,-0.2515,-0.0302,0.2213,766.8706,0.121148,-308.499105,-308.49076099999996,-308.489817,-308.531342,29.677,-1475.71919039,-1483.8153115081,-1492.1134905239999,-1378.3184984279999
1200,gdb_1201,11.40753,1.11134,1.01268,3.7399,66.57,-0.2572,-0.0595,0.1977,1040.5382,0.064847,-322.150234,-322.142692,-322.141748,-322.182151,25.541999999999998,-1108.880566535,-1113.036558642,-1118.369757633,-1044.398369204
1240,gdb_1241,6.56457,1.20513,1.07687,4.2551,65.88,-0.2467,0.0239,0.2706,1084.6075,0.147574,-305.906809,-305.898377,-305.89743300000004,-305.939892,29.500999999999998,-1570.339389973,-1580.1567682779998,-1589.6409393039999,-1459.7384186870001
1280,gdb_1281,6.15033,1.33409,1.23569,5.3151,57.48,-0.248,0.0213,0.2693,983.9296,0.136774,-362.945907,-362.93806800000004,-362.93712400000004,-362.978657,27.354,-1470.4688225870002,-1479.769133476,-1488.6603084970002,-1366.140431265
1320,gdb_1321,4.82908,1.87884,1.68118,4.3317,65.9,-0.2812,0.0318,0.313,798.1374,0.135985,-288.65705499999996,-288.649459,-288.648515,-288.68824,27.959,-1562.563298445,-1572.017349039,-1580.90852406,-1457.7649028821
1360,gdb_1361,3.16552,2.2371,1.9941799999999998,1.2775,67.65,-0.2382,0.0724,0.3106,802.745,0.16932,-310.911364,-310.902599,-310.901655,-310.94355099999996,32.236,-1733.7301833929998,-1745.1163341979998,-1755.7864972339999,-1609.5561924370002
1400,gdb_1401,7.247489999999999,1.4339600000000001,1.24801,1.5976,61.8,-0.2606,0.0238,0.2843,904.3445,0.09829,-307.239887,-307.231905,-307.230961,-307.271909,28.479,-1313.4001823419999,-1319.94635623,-1327.058543236,-1229.235537717
1440,gdb_1441,8.90421,1.31044,1.16982,4.03,56.49,-0.2491,-0.0164,0.2327,951.6106,0.097813,-344.419977,-344.411819,-344.410875,-344.45308,27.616,-1289.732425389,-1296.167530184,-1303.27971719,-1205.990094321
1480,gdb_1481,4.7337,1.5545,1.3371,3.3866,59.65,-0.2637,0.0184,0.2822,921.8074,0.135273,-362.90907400000003,-362.900811,-362.89986600000003,-362.94209,28.59,-1447.35578359,-1456.3900306629998,-1465.280578175,-1343.194309662
1520,gdb_1521,7.45443,1.25944,1.10695,1.2804,65.95,-0.2566,0.039,0.2956,1103.4198,0.158861,-326.998454,-326.98982,-326.988876,-327.031941,30.074,-1639.775770859,-1650.35494509,-1660.432112121,-1522.79491557
1560,gdb_1561,4.2984599999999995,1.6862,1.44858,3.3262,58.69,-0.2477,0.0221,0.2698,871.617,0.135855,-362.930315,-362.92200099999997,-362.92105699999996,-362.963626,28.245,-1460.684702259,-1469.686946373,-1478.578121394,-1356.708343486
1600,gdb_1601,3.97309,2.36945,1.54966,2.2356,51.07,-0.2641,-0.0015,0.2626,733.738,0.090402,-356.730212,-356.722687,-356.721743,-356.762044,26.165,-1174.928398821,-1180.8709090510001,-1187.390100052,-1096.405687615
1640,gdb_1641,4.956580000000001,2.02275,1.45089,1.7515,56.91,-0.2363,-0.0194,0.2169,807.0653,0.113148,-357.942023,-357.93399,-357.933046,-357.97400600000003,28.436,-1307.499087706,-1314.899928852,-1322.605111863,-1215.700168587
1680,gdb_1681,4.031969999999999,1.97465,1.42103,2.6932,61.24,-0.2414,-0.0121,0.2293,877.2099,0.144777,-346.86762400000003,-346.858741,-346.857796,-346.901532,30.355,-1569.9497068839999,-1579.48407863,-1588.9676221470002,-1459.970597017
1720,gdb_1721,4.05463,2.09787,1.87775,1.5659999999999998,66.91,-0.2393,0.0785,0.3178,803.5901,0.1707,-310.91402400000004,-310.906011,-310.905067,-310.94611499999996,29.479,-1735.399357333,-1747.2573949060002,-1757.927557942,-1611.1651255131
1760,gdb_1761,4.43403,1.91736,1.7084700000000002,4.334,65.73,-0.2781,0.0388,0.317,801.1248,0.135987,-288.654408,-288.64665099999996,-288.64570699999996,-288.68586400000004,28.096999999999998,-1560.902282122,-1570.2553037670998,-1579.146478788,-1456.2739414979999
1800,gdb_1801,3.9403300000000003,2.5484,1.7912299999999999,2.3978,57.9,-0.2381,-0.0129,0.2252,725.8809,0.12268699999999999,-345.660927,-345.65331299999997,-345.652368,-345.69255,27.791999999999998,-1440.5880990251,-1449.1416742039999,-1457.439225711,-1342.546092865
1840,gdb_1841,6.75586,2.11611,1.62973,5.2991,60.68,-0.2142,-0.0008,0.2134,719.0217,0.103717,-340.66231600000003,-340.65611,-340.655166,-340.692071,23.596,-1280.927219101,-1288.586593955,-1295.698780961,-1194.723797735
1880,gdb_1881,4.953130000000001,2.2523,1.8528799999999999,4.9008,53.8,-0.2388,0.0378,0.2766,692.3753,0.114863,-361.75555099999997,-361.74900499999995,-361.748061,-361.786087,24.175,-1351.3613392969999,-1359.695913835,-1367.401096846,-1259.0146048210001
1920,gdb_1921,4.83714,2.98381,2.5468,1.6938,60.4,-0.2315,0.0033,0.2348,602.1921,0.125388,-308.474441,-308.468592,-308.467648,-308.503585,23.56,-1460.2423084141,-1469.9040644871,-1478.2022435029999,-1360.900731115
1960,gdb_1961,6.982819999999999,1.6519400000000002,1.46159,2.3552,64.23,-0.2449,0.0348,0.2797,872.6199,0.13594900000000001,-325.781161,-325.773546,-325.77260099999995,-325.813146,26.737,-1503.7650776360001,-1513.20657805,-1522.0971255620002,-1399.212665601
2000,gdb_2001,5.90365,1.5616700000000001,1.33416,2.1208,64.8,-0.2291,0.0703,0.2995,936.0565,0.1588,-326.941692,-326.933626,-326.932682,-326.973925,29.445,-1604.157105001,-1615.092704344,-1625.169871375,-1486.389353426
2040,gdb_2041,4.48153,2.55077,2.2725,1.8127,56.28,-0.2542,0.0708,0.325,647.2123,0.12349500000000001,-345.61222000000004,-345.60548,-345.604536,-345.64227900000003,25.975,-1410.0240181620002,-1419.1260362070002,-1427.424215223,-1311.000587926
2080,gdb_2081,4.88769,2.67785,1.8399400000000001,3.6199,50.34,-0.2559,0.006,0.2619,655.8257,0.103073,-381.616196,-381.610192,-381.609248,-381.646271,21.651999999999997,-1276.1857610971,-1283.9718927689999,-1291.084079775,-1190.287309105
2120,gdb_2121,3.62739,3.1686900000000002,1.77308,4.5164,53.99,-0.2314,-0.08800000000000001,0.1434,677.7872,0.101832,-344.49404300000003,-344.487816,-344.486872,-344.524385,22.671,-1336.209506983,-1343.8563316571,-1350.968518663,-1250.734623566
2160,gdb_2161,3.5738199999999996,3.26867,1.96367,1.7241,54.25,-0.2689,0.0189,0.2878,662.3345,0.114285,-361.729115,-361.72253900000004,-361.72159500000004,-361.759768,23.502,-1334.772511373,-1343.088260641,-1350.793443652,-1242.49919545
2200,gdb_2201,4.30733,2.37859,1.67745,2.5860000000000003,55.65,-0.244,0.0238,0.2678,737.3319,0.11293800000000001,-361.72616600000003,-361.718687,-361.71774300000004,-361.757895,25.479,-1332.921987332,-1340.671095973,-1348.376278984,-1241.323871093
2240,gdb_2241,4.71985,2.80392,2.25394,1.1156,56.16,-0.2269,0.0924,0.3193,635.9580000000001,0.125137,-345.63241400000004,-345.62609199999997,-345.625148,-345.662221,24.05,-1422.6959349079998,-1432.0602517151,-1440.358430731,-1323.514372404
2280,gdb_2281,8.38362,1.31487,1.20754,0.9463,57.62,-0.2536,-0.0297,0.2239,940.029,0.124043,-345.635068,-345.627732,-345.626788,-345.668001,24.456999999999997,-1424.361343794,-1433.089366475,-1441.387545491,-1327.1413744241001
2320,gdb_2321,5.97716,1.55467,1.37415,3.8932,58.56,-0.2743,0.0028,0.2771,882.5958,0.12358699999999999,-345.661705,-345.65418999999997,-345.653246,-345.69383,26.065,-1441.0763010270002,-1449.6919995971,-1457.990178613,-1343.349304385
2360,gdb_2361,4.86109,1.80325,1.41326,1.3258,67.63,-0.2609,0.0762,0.3371,899.7362,0.171308,-310.910909,-310.90297999999996,-310.902035,-310.94285099999996,29.499000000000002,-1733.4446667979998,-1745.355415127,-1756.024950654,-1609.116936137
2400,gdb_2401,5.28923,2.05475,1.81323,3.0469,57.34,-0.2401,0.0712,0.3113,725.7276,0.12455899999999999,-345.602641,-345.59584,-345.594896,-345.633382,24.974,-1404.0131094510998,-1413.0768494471,-1421.3750284629998,-1305.417640353
2440,gdb_2441,3.7707599999999997,3.17461,2.47627,0.0753,69.67,-0.2736,0.0815,0.3551,661.041,0.175932,-273.787799,-273.781987,-273.781043,-273.81695099999996,24.311999999999998,-1792.867886571,-1806.1076989621,-1816.777861998,-1667.045429472
2480,gdb_2481,4.65879,2.4840400000000002,2.30475,0.0627,70.35,-0.2924,0.0916,0.384,698.5492,0.17463599999999999,-273.780933,-273.774787,-273.773843,-273.81042,25.334,-1788.5594097770002,-1801.589634162,-1812.259797198,-1662.9471681931
2520,gdb_2521,3.17993,2.29656,1.40907,1.2156,51.11,-0.2812,-0.0587,0.2226,794.6414,0.088166,-360.523204,-360.515602,-360.514657,-360.555659,25.15,-1205.9041255881,-1211.7989451341,-1218.317508626,-1128.132542655
2560,gdb_2561,3.72779,2.57228,1.7275200000000002,4.7105,56.13,-0.3096,-0.0172,0.2924,693.5702,0.078815,-302.306944,-302.300539,-302.299595,-302.337244,22.666999999999998,-1194.94656343,-1200.704586014,-1206.63078101,-1122.712119913
2600,gdb_2601,3.10115,2.69006,1.73478,2.9423,61.29,-0.2473,-0.0239,0.2234,766.5243,0.135722,-325.765414,-325.75782999999996,-325.756886,-325.79701,27.27,-1493.8836934131,-1503.3446466060998,-1512.2358216270002,-1389.0871803771
2640,gdb_2641,19.97251,0.87279,0.84511,0.4809,52.1,-0.2633,-0.0414,0.2219,1227.0498,0.097123,-381.584942,-381.576709,-381.575764,-381.619217,25.500999999999998,-1256.5735948111,-1262.961008922,-1270.072568419,-1173.3106806189999
2680,gdb_2681,12.89712,0.8109999999999999,0.8059999999999999,1.3425,63.98,-0.2508,0.0307,0.2814,1406.0669,0.12226500000000001,-345.595021,-345.586164,-345.585219,-345.629545,28.664,-1399.231490871,-1407.005072363,-1415.30262387,-1303.00988832
2720,gdb_2721,12.88146,0.7194699999999999,0.69907,1.3734,72.02,-0.2613,0.0815,0.3428,1637.1265,0.19356199999999998,-312.12634199999997,-312.116795,-312.11585099999996,-312.160938,32.999,-1868.2881932811,-1880.9607375361,-1892.816892582,-1732.254909734
2760,gdb_2761,3.7004,2.6436900000000003,1.85821,3.5437,57.27,-0.2787,0.0209,0.2996,695.493,0.11418800000000001,-324.57985,-324.573162,-324.572218,-324.610462,24.543000000000003,-1377.7832332510998,-1386.02932902,-1393.7345120310001,-1285.740213131
2800,gdb_2801,4.23114,1.97052,1.5095299999999998,1.7323,67.32,-0.2394,0.0856,0.3249,881.8578,0.171129,-310.90955099999996,-310.901438,-310.90049300000004,-310.94257999999996,28.975,-1732.592509576,-1744.3877962489998,-1755.057331776,-1608.9468811981
2840,gdb_2841,5.11225,1.7149299999999998,1.44211,2.0081,59.99,-0.2482,0.0294,0.2776,831.6174,0.11275,-324.50417799999997,-324.496856,-324.49591200000003,-324.535758,26.523000000000003,-1330.2983722031,-1338.146627266,-1345.851810277,-1238.862780795
2880,gdb_2881,6.67323,2.0560099999999997,1.7623400000000002,1.609,55.89,-0.2599,0.0112,0.2711,689.6510000000001,0.090665,-323.34711200000004,-323.340873,-323.339929,-323.377788,22.104,-1232.080663523,-1238.831405345,-1245.350596346,-1153.4487657511
2920,gdb_2921,5.53463,1.71623,1.4698200000000001,0.2141,73.74,-0.2239,0.0351,0.259,906.8307,0.17285599999999998,-273.809498,-273.80199,-273.801046,-273.841287,27.74,-1806.4842043620001,-1818.659761489,-1829.329924525,-1682.3164884961
2960,gdb_2961,6.48956,1.7843799999999999,1.5473,2.7619,54.28,-0.2846,-0.0991,0.1856,748.6499,0.07860199999999999,-339.423497,-339.416996,-339.416052,-339.454399,22.089000000000002,-1131.408767144,-1137.105921355,-1143.032116351,-1059.296060373
3000,gdb_3001,7.2480899999999995,1.6231,1.4933100000000001,1.5577,58.7,-0.2686,0.0161,0.2847,847.2337,0.12470899999999999,-345.678871,-345.67147,-345.670526,-345.71072999999996,25.703000000000003,-1451.848120521,-1460.535355117,-1468.8335341329998,-1353.954206485
3040,gdb_3041,13.857629999999999,1.00902,1.00519,3.2824,65.65,-0.2613,-0.067,0.1943,1096.4309,0.089463,-323.32069,-323.313593,-323.312649,-323.352735,23.456999999999997,-1215.5006207251,-1221.712959825,-1228.232150826,-1137.727782774
3080,gdb_3081,3.6177599999999996,2.3155799999999997,1.94432,1.1162,67.24,-0.2214,0.0357,0.2571,748.1061,0.13459200000000002,-288.576123,-288.568173,-288.567229,-288.60772599999996,28.930999999999997,-1511.777740057,-1521.0096524651,-1529.900827486,-1407.2416432561
3120,gdb_3121,6.04295,2.211,1.90681,4.5343,59.04,-0.2626,-0.0035,0.2591,671.8379,0.103247,-303.463214,-303.457301,-303.45635699999997,-303.492835,22.066999999999997,-1292.664774946,-1300.508637446,-1307.620824452,-1206.633291046
3160,gdb_3161,3.72841,2.6943799999999998,1.89757,1.4468,64.24,-0.2519,0.0811,0.3331,726.0814,0.14865899999999999,-309.691414,-309.684511,-309.683567,-309.721991,26.723000000000003,-1596.052198757,-1606.829665832,-1616.3138368579998,-1484.238880083
3200,gdb_3201,4.10431,3.4647900000000003,3.0552200000000003,2.4849,55.12,-0.2475,0.0878,0.3353,552.7923,0.128648,-345.659797,-345.654708,-345.653764,-345.688445,20.535999999999998,-1439.8790138551,-1450.017049259,-1458.315228275,-1339.97016842
3240,gdb_3241,8.01379,1.3541100000000001,1.32962,1.0336,68.84,-0.2292,0.0928,0.322,967.1248,0.160498,-289.791234,-289.784015,-289.783071,-289.822918,26.764,-1646.419208642,-1657.8869356170999,-1667.9641026479999,-1528.5629782981
3280,gdb_3281,5.30661,2.59558,2.0623,2.0233,57.07,-0.2343,-0.0308,0.2035,640.4692,0.114101,-324.542706,-324.53679500000004,-324.535851,-324.572674,22.066999999999997,-1354.475038955,-1363.208709217,-1370.9138922280001,-1262.027903039
3320,gdb_3321,6.32762,1.94851,1.7487099999999998,2.1321,61.1,-0.2278,0.0798,0.3075,760.7166,0.13705599999999998,-325.71144100000004,-325.704681,-325.703737,-325.74219,24.956999999999997,-1460.0151501560001,-1469.993170765,-1478.884345786,-1354.687136997
3360,gdb_3361,5.148,2.80754,2.13062,1.5944,55.73,-0.2517,0.0738,0.3256,628.3861,0.12748299999999999,-345.630685,-345.62496600000003,-345.624022,-345.66044500000004,21.364,-1421.6109718471,-1431.3536765810002,-1439.6518555970001,-1322.39991642
3400,gdb_3401,5.23097,2.44088,2.28337,2.4004,51.56,-0.256,0.0095,0.2654,607.4024,0.09017599999999999,-360.469577,-360.46378,-360.462836,-360.499053,22.068,-1172.2527004451,-1179.280173736,-1185.799364737,-1092.6117682010001
3440,gdb_3441,4.45824,3.1560900000000003,2.24655,2.5757,57.15,-0.2363,0.0016,0.2378,603.1419,0.11576600000000001,-324.547436,-324.54179300000004,-324.54084900000004,-324.576601,22.416,-1357.443156525,-1366.3449991989999,-1374.05018221,-1264.492130882
3480,gdb_3481,5.85265,2.84706,2.68836,0.2077,63.53,-0.2171,0.0878,0.3049,587.1699,0.125013,-271.272557,-271.26691600000004,-271.26597200000003,-271.301452,22.831,-1470.234134221,-1480.027039675,-1488.3252186910001,-1370.992330853
3520,gdb_3521,5.4539599999999995,2.53958,2.24172,0.047,68.99,-0.2646,0.1061,0.3706,665.6695,0.150069,-272.510742,-272.504974,-272.50403,-272.539864,23.803,-1619.354745472,-1630.8450627710001,-1640.3292337970001,-1506.8844248751002
3560,gdb_3561,5.35206,3.0602099999999997,3.0232900000000003,1.7229,59.21,-0.2503,0.0888,0.3391,550.929,0.127823,-308.467331,-308.462465,-308.461521,-308.49555499999997,20.721,-1455.780719424,-1466.0593168441,-1474.35749586,-1355.8618338451
3600,gdb_3601,5.19489,1.88303,1.6863299999999999,1.3454,67.72,-0.2188,0.0934,0.3122,815.2373,0.160302,-289.78994,-289.782601,-289.781657,-289.821387,27.426,-1645.6072119960002,-1656.999637891,-1667.076804922,-1527.602262019
3640,gdb_3641,9.43113,1.9860900000000001,1.6406,2.7542,60.83,-0.2328,-0.0054,0.2274,695.3336,0.080184,-302.286171,-302.28045099999997,-302.27950699999997,-302.31548100000003,21.441999999999997,-1181.911318973,-1188.0991852221,-1194.025380218,-1109.055641546
3680,gdb_3681,3.7875,3.28295,1.7820200000000002,3.4669,55.54,-0.2301,0.0088,0.2388,674.9587,0.102779,-340.635968,-340.629419,-340.628475,-340.666206,23.958000000000002,-1264.393611969,-1271.837751236,-1278.949938242,-1178.49327745
3720,gdb_3721,7.18421,2.00323,1.7273900000000002,1.9727,54.73,-0.2855,-0.0226,0.2629,724.09,0.1029,-340.647224,-340.640879,-340.63993500000004,-340.678449,21.87,-1271.456853273,-1279.029004376,-1286.141191382,-1186.175870137
3760,gdb_3761,4.01135,3.62779,1.9281700000000002,2.3546,51.14,-0.2387,0.0262,0.2649,619.975,0.09224199999999999,-356.72411800000003,-356.717838,-356.716893,-356.754601,21.869,-1171.104358975,-1177.82811791,-1184.346681402,-1091.735138128
3800,gdb_3801,7.97015,2.13437,1.70157,2.7579,52.26,-0.2247,-0.0013,0.2234,688.7394,0.09172999999999999,-356.679691,-356.673566,-356.672621,-356.709894,21.518,-1143.226016632,-1150.047039462,-1156.565602954,-1063.681093265
3840,gdb_3841,5.73104,2.83546,1.89694,1.8535,60.81,-0.2129,-0.0553,0.1576,624.6814,0.09352200000000001,-319.567241,-319.561845,-319.560901,-319.59629900000004,20.663,-1209.338482345,-1216.617586745,-1223.136777746,-1129.331084845
3880,gdb_3881,7.70286,2.05262,1.62457,2.5045,52.0,-0.1959,0.0546,0.2505,702.6858,0.092045,-356.709466,-356.702945,-356.702001,-356.739359,24.269000000000002,-1161.910097107,-1168.4826263730001,-1175.001817374,-1082.17064595
3920,gdb_3921,8.5356,2.03733,1.64475,4.8782,50.12,-0.271,-0.077,0.19399999999999998,672.7102,0.06705599999999999,-359.306313,-359.300767,-359.299823,-359.336004,19.145,-1070.1456909830001,-1075.553563545,-1080.886762536,-1004.0106349461
3960,gdb_3961,7.638539999999999,2.0253099999999997,1.6813900000000002,2.1685,47.11,-0.2846,-0.0343,0.2503,683.3589,0.079608,-376.563238,-376.557315,-376.556371,-376.59351200000003,20.437,-1082.42164955,-1088.4808764539998,-1094.40707145,-1009.658843455
4000,gdb_4001,3.7417300000000004,1.12319,0.86856,0.8254,78.37,-0.2297,-0.051,0.1787,1266.4262,0.091713,-361.359729,-361.350685,-361.34974,-361.39468700000003,30.82,-1336.149893628,-1342.029652958,-1349.140584946,-1251.0778709889998
4040,gdb_4041,6.4946,1.2975,1.08874,2.9305,68.46,-0.2498,-0.0787,0.1711,993.1983,0.095483,-398.594809,-398.587903,-398.586959,-398.626086,25.642,-1346.988856585,-1354.209602648,-1361.321162145,-1259.350949645
4080,gdb_4081,3.81428,1.50024,1.17887,0.9135,74.91,-0.2368,0.0158,0.2526,1043.6332,0.167456,-365.051483,-365.043844,-365.0429,-365.083301,29.866999999999997,-1769.2038946720002,-1781.296620611,-1791.9661561379999,-1642.0486084570002
4120,gdb_4121,2.85195,1.86506,1.2460200000000001,2.1197,60.61,-0.2516,-0.0148,0.2368,942.6517,0.11665299999999999,-436.866149,-436.85770999999994,-436.856766,-436.899112,30.436,-1380.2386759679998,-1388.2739287129998,-1396.57148022,-1280.0317637580001
4160,gdb_4161,2.61063,1.8070700000000002,1.1300700000000001,2.0261,68.39,-0.2484,-0.0033,0.2451,1036.252,0.14151,-400.94272,-400.934458,-400.933514,-400.975663,30.357,-1564.6209004561,-1574.5449552910998,-1584.0284988079998,-1451.286499966
4200,gdb_4201,4.3083800000000005,1.6281,1.58404,1.5306,65.07,-0.2407,0.0057,0.2464,850.8724,0.11980199999999999,-399.716892,-399.71031800000003,-399.709374,-399.747567,25.601999999999997,-1423.254417918,-1432.460602457,-1440.758153964,-1321.867788788
